Mask (Consumer product) #12	Credited A	"Bauhaus"	.
Mask (Consumer product) #12	Format	Compact disc	.
Mask (Consumer product) #12	GTIN	"00075679257628"	.
Mask (Consumer product) #12	Region	United States of America	.
Mask (Consumer product) #12	Release Date	"1988"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (Consumer product) #12	Release of	Mask (Gothic rock Album)	.
Mask (Consumer product) #12	is-a	Consumer product	.
Mask (Consumer product) #12	is-a	Creative Work	.
Mask (Consumer product) #12	is-a	Musical Release	.
Mask (Consumer product) #12	is-a	Topic	.
Mask (Consumer product) #121	Catalog Number	"Baubox 2"	.
Mask (Consumer product) #121	Credited A	"Bauhaus"	.
Mask (Consumer product) #121	Format	Compact disc	.
Mask (Consumer product) #121	GTIN	"00607618206222"	.
Mask (Consumer product) #121	Region	Germany	.
Mask (Consumer product) #121	Release Date	"2009"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (Consumer product) #121	Release of	Mask (Gothic rock Album)	.
Mask (Consumer product) #121	is-a	Consumer product	.
Mask (Consumer product) #121	is-a	Creative Work	.
Mask (Consumer product) #121	is-a	Musical Release	.
Mask (Consumer product) #121	is-a	Topic	.
Mask (Consumer product) #26	Catalog Number	"FACT 3068-2"	.
Mask (Consumer product) #26	Credited A	"Soman"	.
Mask (Consumer product) #26	Format	Compact disc	.
Mask (Consumer product) #26	GTIN	"04046661064629"	.
Mask (Consumer product) #26	Region	Germany	.
Mask (Consumer product) #26	Release Date	"2007-04-20"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask (Consumer product) #26	Release of	Mask (Musical Album) #115	.
Mask (Consumer product) #26	is-a	Consumer product	.
Mask (Consumer product) #26	is-a	Creative Work	.
Mask (Consumer product) #26	is-a	Musical Release	.
Mask (Consumer product) #26	is-a	Topic	.
Mask (Consumer product) #42	Catalog Number	"825 245-2"	.
Mask (Consumer product) #42	Credited A	"Vangelis"	.
Mask (Consumer product) #42	Format	Compact disc	.
Mask (Consumer product) #42	GTIN	"00042282524522"	.
Mask (Consumer product) #42	Label	Polydor Records	.
Mask (Consumer product) #42	Producer	Vangelis	.
Mask (Consumer product) #42	Region	United Kingdom	.
Mask (Consumer product) #42	Release Date	"1985"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (Consumer product) #42	Release of	Mask (Electronic Album)	.
Mask (Consumer product) #42	Running Time	"2634.493"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Consumer product) #42	is-a	Consumer product	.
Mask (Consumer product) #42	is-a	Creative Work	.
Mask (Consumer product) #42	is-a	Musical Release	.
Mask (Consumer product) #42	is-a	Topic	.
Mask (Digital media Musical Release) #134	Credited A	"Monotremata"	.
Mask (Digital media Musical Release) #134	Format	Digital media	.
Mask (Digital media Musical Release) #134	Region	Earth	.
Mask (Digital media Musical Release) #134	Release Date	"2008"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (Digital media Musical Release) #134	Release of	Mask (EP)	.
Mask (Digital media Musical Release) #134	is-a	Creative Work	.
Mask (Digital media Musical Release) #134	is-a	Musical Release	.
Mask (Digital media Musical Release) #134	is-a	Topic	.
Mask (Digital media Musical Release) #65	Catalog Number	"BSTRD002"	.
Mask (Digital media Musical Release) #65	Credited A	"Vaal"	.
Mask (Digital media Musical Release) #65	Format	Digital media	.
Mask (Digital media Musical Release) #65	Release of	Mask (Musical Album) #3	.
Mask (Digital media Musical Release) #65	is-a	Creative Work	.
Mask (Digital media Musical Release) #65	is-a	Musical Release	.
Mask (Digital media Musical Release) #65	is-a	Topic	.
Mask (Drama Film) #7	Art direction by	Edgar Martin Littaua	.
Mask (Drama Film) #7	Cinematography	Lee Briones-Meily	.
Mask (Drama Film) #7	Country of origin	Philippines	.
Mask (Drama Film) #7	Directed by	Laurice Guillen	.
Mask (Drama Film) #7	Edited by	Efren Jarlego	.
Mask (Drama Film) #7	Film festival	2011 Busan International Film Festival	.
Mask (Drama Film) #7	Genre	Drama (Film genre) #99	.
Mask (Drama Film) #7	Initial release date	"2011-07-15"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask (Drama Film) #7	Language	Filipino language	.
Mask (Drama Film) #7	Language	Tagalog language	.
Mask (Drama Film) #7	Music by	Von de Guzman	.
Mask (Drama Film) #7	Produced by	Anna Feleo	.
Mask (Drama Film) #7	Production design by	Edgar Martin Littaua	.
Mask (Drama Film) #7	Release date(s)	"2011-07-15"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask (Drama Film) #7	Release date(s)	"2011-10-07"^^<http://www.w3.org/2001/XMLSchema#date>	.
Mask (Drama Film) #7	Runtime	"83.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Drama Film) #7	Screenplay by	Ina Feleo	.
Mask (Drama Film) #7	Title ID	"tt1964947"	.
Mask (Drama Film) #7	Trailer	<http://www.youtube.com/watch?v=syTqZ9-U-X4>	.
Mask (Drama Film) #7	is-a	Film	.
Mask (Drama Film) #7	is-a	Topic	.
Mask (EP)	Artist	Monotremata (Musical Group)	.
Mask (EP)	Initial release date	"2008"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (EP)	Primary release	Mask (Digital media Musical Release) #134	.
Mask (EP)	Release type	EP (m/0l14fq)	.
Mask (EP)	is-a	Musical Album	.
Mask (EP)	is-a	Topic	.
Mask (Electronic Album)	Artist	Vangelis	.
Mask (Electronic Album)	Genre	Classical music	.
Mask (Electronic Album)	Genre	Electronic music	.
Mask (Electronic Album)	Initial release date	"1985"^^<http://www.w3.org/2001/XMLSchema#gYear>	.
Mask (Electronic Album)	Primary release	Mask (Consumer product) #42	.
Mask (Electronic Album)	Release type	Album	.
Mask (Electronic Album)	is-a	Musical Album	.
Mask (Electronic Album)	is-a	Topic	.
Mask (Fictional Character)	Appears In These Fictional Universe	Joshiraku (Fictional Universe)	.
Mask (Fictional Character)	Regular Featured Appearance	Joshiraku	.
